#{"t_start": 1627294149.254651, "env_id": null}
r,l,t
-1.02,3,4.803519
-1,1,4.80583
-1.05,6,4.815415
-1.02,3,4.818803
-1.02,3,4.824284
-1.02,3,4.830254
-1,1,4.832505
-1.01,2,4.835468
-1.05,6,4.84344
-1,1,4.845706
-1.07,8,4.856073
-1.02,3,4.859145
-1.09,10,4.871027
-1.03,4,4.877668
-1.11,12,4.890953
-1,1,4.89303
-1,1,4.895207
-1.09,10,4.905423
-1,1,4.907476
-1,1,4.909567
-1,1,4.9118
-1.13,14,4.926295
-1.05,6,4.932227
-1.05,6,4.93901
-1,1,4.941209
-1.08,9,4.95275
-1.02,3,4.957351
-1,1,4.95945
-1,1,4.961099
-1.02,3,4.965678
-1.01,2,4.969603
-1.03,4,4.974833
-1.03,4,4.981382
-1.05,6,4.988577
-1.08,9,5.002367
-1,1,5.004523
-1.05,6,5.013635
-1.04,5,5.018773
-1.02,3,5.023442
-1.05,6,5.030565
-1.09,10,5.041175
-1.1,11,5.053341
-1.06,7,5.063443
-1.01,2,5.066278
-1.03,4,5.072021
-1.04,5,5.080354
-1.06,7,5.087305
-1.09,10,5.099394
-1.02,3,5.104357
-1.02,3,5.109259
-1.09,10,5.119863
-1,1,5.121831
-1.15,16,5.138732
-1.12,13,5.155403
-1.07,8,5.163695
-1.05,6,5.172838
-1.01,2,5.176696
-1.01,2,5.179544
-1,1,5.181704
-1.09,10,5.192123
-1.02,3,5.196312
-1.09,10,5.209017
-1.16,17,5.225414
-1,1,5.227513
-1.07,8,5.237297
-1.04,5,5.244224
-1.06,7,5.252417
-1,1,5.25452
-1.01,2,5.259074
-1.03,4,5.263178
-1.01,2,5.265901
-1.04,5,5.271145
-1.16,17,5.284825
-1.13,14,5.298383
-1.02,3,5.30177
-1,1,5.303818
-1.02,3,5.307714
-1,1,5.309769
-1.08,9,5.320711
-1,1,5.32284
-1.03,4,5.328112
-1.13,14,5.342569
-1.05,6,5.350703
-1.11,12,5.36494
-1.03,4,5.369111
-1,1,5.370791
-1,1,5.372905
-1,1,5.375192
-1.01,2,5.379089
-1.07,8,5.386711
-1,1,5.389174
-1.08,9,5.399332
-1.01,2,5.402061
-1.09,10,5.414378
-1.02,3,5.418885
-1.02,3,5.422327
-1.06,7,5.430018
-1.13,14,5.445627
-1.04,5,5.452361
-1.09,10,5.46222
-1,1,5.46426
-1.07,8,5.472347
-1,1,5.474458
-1.1,11,5.484509
-1,1,5.486166
-1.01,2,5.490003
-1,1,5.492178
-1.02,3,5.495313
-1.06,7,5.505693
-1.02,3,5.510024
-1.03,4,5.515567
-1.06,7,5.526403
-1,1,5.528283
-1.01,2,5.53107
-1.07,8,5.539032
-1.19,20,5.55863
-1.01,2,5.562132
-1,1,5.564213
-1.02,3,5.568947
-1.02,3,5.573875
-1,1,5.57597
-1,1,5.578043
-1.03,4,5.583332
-1.03,4,5.591205
-1.03,4,5.597055
-1.1,11,5.608694
-1.01,2,5.611594
-1.09,10,5.624037
-1.01,2,5.628322
-1.01,2,5.631109
-1.06,7,5.639118
-1.1,11,5.648566
-1.02,3,5.653015
-1,1,5.655219
-1.04,5,5.660908
-1.11,12,5.675243
-1.03,4,5.680393
-1,1,5.682711
-1.01,2,5.685682
-1.05,6,5.692967
-1.12,13,5.709162
-1.06,7,5.717421
-1.24,25,5.743214
-1.13,14,5.754958
-1.04,5,5.762214
-1,1,5.764378
-1.08,9,5.773121
-1.01,2,5.777264
-1.17,18,5.79633
-1.04,5,5.803548
-1,1,5.805785
-1.01,2,5.808253
-1.03,4,5.813756
-1.09,10,5.824387
-1.03,4,5.832456
-1.06,7,5.8416
-1,1,5.843239
-1.09,10,5.855526
-1.01,2,5.858467
-1.01,2,5.861222
-1.06,7,5.871348
-1,1,5.873672
-1,1,5.875835
-1.04,5,5.883237
-1.01,2,5.886098
-1.04,5,5.890922
-1.04,5,5.898215
-1.02,3,5.904288
-1.03,4,5.912353
-1.05,6,5.919123
-1,1,5.921164
-1.01,2,5.923805
-1.04,5,5.931317
-1.04,5,5.936344
-1.05,6,5.943356
-1.03,4,5.950314
-1,1,5.952417
-1.01,2,5.956229
-1,1,5.958303
-1,1,5.960423
-1.02,3,5.96518
-1.05,6,5.97236
-1,1,5.974515
-1.02,3,5.979551
-1.03,4,5.983591
-1.04,5,5.993473
-1.02,3,5.999231
-1,1,6.001471
-1.13,14,6.014078
-1,1,6.016211
-1.05,6,6.025139
-1.01,2,6.027816
-1.06,7,6.035533
-1.1,11,6.047254
-1,1,6.049497
-1.01,2,6.05241
-1,1,6.054424
-1.08,9,6.799156
-1.15,16,6.817318
-1.02,3,6.822256
-1.11,12,6.834191
-1.29,30,6.857977
-1.03,4,6.866087
-1,1,6.86777
-1.08,9,6.876379
-1.28,29,6.900601
-1.13,14,6.913244
-1.18,19,6.930363
-1.12,13,6.943652
-1.1,11,6.958722
-1.1,11,6.968425
-1.24,25,6.99559
-1.25,26,7.016292
-1.03,4,7.021923
-1.05,6,7.029584
-1.11,12,7.046767
-1.12,13,7.062178
-1.01,2,7.064674
-1.3,31,7.096517
-1.14,15,7.113612
-1.07,8,7.12362
-1.08,9,7.1336
-1.07,8,7.146043
-1,1,7.148109
-1.06,7,7.15837
-1.07,8,7.165465
